lat,lon,total_FV_VIF
6.897502496,158.1686843,0.0
35.775341,-106.5469957,0.0
35.77535437,-111.7618921,0.0
35.77556841,-105.3236324,2.347155774
35.77641118,-82.13775618,0.0
35.77685263,-81.97089216,0.0
35.77687939,-82.29307559,0.0
35.77704437,-106.1576449,0.0
35.777303,-83.51552922,1.694751033
35.77799416,-111.9530761,0.323989651
35.77888598,-111.902443,0.0
35.77897516,-93.15894615,0.42770583599999995
35.7798982,-86.05966487,0.0
30.14008961,-91.26104126,0.0
30.14016096,-85.01707353,0.27952099
30.14097697,-90.45871521,0.0
35.78079002,-87.60822148,0.0
35.78091041,-88.09024585,0.0
35.78100406,-105.6647537,0.0
35.78109324,-111.8471457,0.323989651
30.14148531,-99.71195633,0.0
35.7815659,-113.0086167,0.0
35.78163725,-110.0589168,0.0
35.78203411,-113.2418499,0.323989651
35.7820787,-111.6600864,1.1898782190000001
35.78213667,-105.5084399,0.0
35.78252907,-105.7194669,0.0
35.78263163,-111.8413667,0.0
35.78285458,-104.2205445,1.6796500380000001
35.78300173,-91.92612956,0.284281527
35.78318456,-105.7727665,0.0
35.78322469,-87.13186464,0.0
35.78334954,-105.4287825,0.0
35.78357696,-105.8873342,1.090961462
35.78362601,-79.32832186,0.0
35.78393368,-75.96234713,0.0
35.78440189,-87.66749186,0.0
35.78454012,-106.774236,1.759859381
35.78454458,-88.249137,0.143424309
35.78471403,-87.92091595,0.0
35.78474078,-88.29987711,0.0
35.78478091,-106.1646055,0.0
35.78478983,-110.1727532,1.306382744
35.78534276,-81.53254915,0.0
35.78547653,-105.4373395,0.0
35.78551667,-93.0591693,0.430586237
35.78583326,-89.63666209,0.0
35.78594474,-106.5419257,0.0
35.78620783,-105.3297191,2.122792625
35.78636389,-106.0546976,0.0
35.7864174,-87.23261802,0.0
35.78643524,-111.9953751,0.323989651
35.78668495,-111.7743286,0.0
35.78718437,-93.11561706,0.35317275299999995
35.78722004,-111.988847,0.323989651
35.7880093,-105.5040923,0.0
35.7880093,-113.1703393,0.0
35.78863358,-93.27348262,0.0
35.78918205,-105.3853419,0.735678292
35.78929352,-83.66500721,0.437466327
35.7895254,-109.1523727,0.0
35.78977511,-93.31612946,0.074533083
35.79005603,-85.07373087,0.0
35.79107716,-93.42110116,0.42770583599999995
35.79150078,-111.8913309,0.323989651
35.79189318,-109.3307189,0.284281527
35.79245949,-105.7707733,0.0
35.79289648,-109.3884776,0.0
35.79414949,-84.76015797,0.437466327
35.79607582,-93.37432519,0.48722508499999995
35.79613824,-83.61340649,0.0
35.79684278,-80.1361549,0.456157302
35.79761421,-93.69638822,0.42770583599999995
35.79769893,-93.47668385,0.42770583599999995
35.7981493,-93.74483635,0.7516954869999999
35.79903666,-75.76561159,0.341911086
35.79984376,-93.8465975,0.42770583599999995
30.14373716,-84.80621156,0.0
35.80035655,-94.06309577,0.35881461
35.80076679,-79.45979399,0.0
35.80186819,-95.07445556,0.284281527
35.80270204,-84.6580936,0.284281527
35.8035136,-92.5278362,0.0
35.80387478,-91.84493379,0.0
35.80498064,-92.12055974,0.35317275299999995
35.80556924,-82.96590489,0.0
35.80634959,-86.61278068,0.0
35.80692927,-75.88544547,0.0
35.80739747,-83.44435751,0.0
35.80765164,-94.81275092,0.323989651
35.80828929,-94.22025233,0.35317275299999995
35.80886898,-82.81610585,0.0
35.80923017,-94.26427704,0.284281527
35.80986336,-87.46873634,0.46741395999999996
30.14485639,-90.60461254,0.0
30.14517745,-98.84882598,1.605225903
30.14525325,-81.98831387,0.0
30.14558769,-94.48410626,0.0
35.8100328,-111.7514043,0.323989651
35.81011753,-79.52933367,0.42770583599999995
35.81049209,-106.4527526,0.0
35.81067937,-94.43386111,0.284281527
35.81086666,-118.2192903,0.527928929
35.81244518,-94.86632702,0.0
35.8126503,-79.26163154,0.0
35.81357779,-84.99149613,0.143424309
35.81360454,-106.8145507,0.456157302
35.81404599,-76.65325808,0.27952099
35.81457217,-77.17839304,0.0
35.8148085,-82.89631616,0.0
35.8149066,-84.8826138,0.35881461
35.81494673,-81.97440147,0.0
35.81597679,-109.2878981,1.759859381
35.81640932,-108.9580451,0.0
35.8164227,-106.8125753,0.456157302
35.81651188,-118.3407651,0.0
35.8166947,-109.3967314,0.0
30.14644829,-85.08336699,0.9286055900000001
35.81722979,-109.5058947,0.0
35.81756868,-113.8581022,1.3306675929999998
35.81768016,-82.12869529,0.0
35.81776488,-88.61622803,0.284281527
